municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Lajes Pintadas,51,18,1,49,15,1,51,18,1,42,12,1,29,10,1,29,12,1,29,12,,17,9,,17,9,,17,9,,17,9,,17,6,,16,7,,16,7,,16,7,,11,7,,10,8,,10,8,,9,8,,9,9,,9,9,,9,9,,8,8,,8,8,,7,5,,7,5,,6,5,,6,5,,5,5,,5,5,,5,5,,5,5,,5,4,,5,4,,5,3,,5,3,,5,2,,5,2,,2,5,,5,2,,5,2,,5,2,,4,3,,4,3,,4,,,4,,,3,1,,2,1,,2,1,,2,2,,2,2,,2,2,,2,1,,2,1,,2,1,,2,1,,2,1,,1,2,,1,1,,1,1,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,5,6,,5,8,,5,6,,5,7,,5,5,,5,6,,5,6,,5,5,,5,5,,5,5,,5,5,,5,4,,5,4,,5,4,,5,4,,5,4,,5,4,,5,4,,6,3,,6,3,,6,3,,6,3,,5,2,,5,2,,5,2,,3,4,,1,8,,1,8,,,9,,,9,,,9,,,9,,,6,,,6,,,6,,,6,,,6,,,6,,5,,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,17,19,1,12,15,1,17,19,1,12,13,1,12,13,1,12,13,1,12,14,1,9,13,1,9,13,1,9,13,1,9,13,1,9,13,1,8,13,,8,13,,8,13,,5,13,,5,13,,5,15,,3,9,,3,9,,3,9,,3,9,,2,7,,2,7,,3,6,,2,7,,1,5,,1,5,,1,5,,1,5,,1,4,,1,4,,1,4,,1,3,,1,3,,1,3,,1,2,,1,2,,2,1,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,,1,1,,,1,1,,1,,,1,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaíba,517,1942,22,415,1038,21,517,1942,22,396,1013,19,367,971,14,364,1092,14,330,1108,14,285,903,14,285,904,14,283,904,14,276,907,13,267,880,12,247,891,12,238,896,12,230,898,12,216,898,12,199,908,10,195,914,8,178,673,8,178,686,7,177,687,6,177,686,6,164,569,6,148,574,5,143,515,5,107,544,5,94,395,5,93,364,5,74,369,5,66,399,5,60,356,5,60,361,5,58,337,4,53,309,4,41,279,3,41,279,3,39,281,3,35,235,3,221,32,3,31,214,3,30,192,3,31,188,3,26,156,3,26,154,3,25,154,3,21,140,3,20,131,2,20,107,2,19,106,2,16,108,2,16,106,2,16,106,1,17,103,1,15,105,1,16,72,1,15,70,1,15,70,1,11,75,,10,65,,11,57,,11,55,,10,51,,10,51,,8,47,,6,47,,6,49,,6,50,,7,53,,4,59,,3,62,,2,63,,2,64,,2,47,,2,45,,2,40,,,2,37,,,1,33,,1,33,,1,24,,,1,20,,,1,20,,,23,,,,21,,,3,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
Macau,189,195,14,113,108,12,189,195,14,111,104,12,104,100,12,104,120,12,102,121,12,89,114,12,82,115,5,80,116,4,79,117,4,75,114,4,73,115,4,73,115,4,71,116,3,63,116,3,60,119,1,60,119,1,56,107,1,56,108,1,56,108,1,55,109,1,54,102,,54,102,,48,98,,46,99,,26,72,,26,68,,25,61,,23,56,,19,57,,19,54,,17,54,,17,55,,16,55,,16,55,,15,53,,13,51,,47,9,,8,47,,2,32,,1,27,,1,20,,1,20,,1,20,,,19,,,16,,,15,,,14,,,14,,,14,,,14,,,13,,,13,,,10,,,8,,,8,,,10,,,9,,,8,,,8,,,8,,,8,,,8,,,9,,,5,,,5,,,8,,,8,,,9,,,9,,,9,,,9,,,7,,,5,,,,5,,,,7,,,7,,,7,,,,3,,,,3,,,3,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Major Sales,1,9,,1,10,,1,9,,1,9,,,4,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,5,,,3,,,3,,,3,,,3,,,3,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,16,17,,10,23,,16,17,,6,18,,4,17,,4,18,,3,19,,3,8,,3,8,,1,8,,1,8,,1,8,,1,8,,1,8,,1,8,,1,8,,1,8,,,9,,,5,,,5,,,5,,,5,,,4,,,4,,,2,,,2,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,1,,1,,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,3,,,,3,,,,3,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martins,12,7,,6,4,,12,7,,6,4,,6,3,,6,4,,6,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,4,4,,3,3,,3,3,,3,3,,3,3,,2,2,,2,2,,2,1,,2,1,,2,1,,2,1,,2,1,,2,1,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,1,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,54,31,1,40,34,1,54,31,1,32,22,1,26,17,1,20,24,1,20,24,1,20,12,1,18,12,1,18,12,1,17,12,1,16,8,1,16,8,1,16,8,1,16,8,1,14,8,1,11,12,1,11,12,1,11,6,1,12,8,2,12,8,2,11,10,1,10,7,1,10,7,1,7,5,1,5,7,1,5,6,1,5,6,1,3,7,1,3,7,1,3,3,1,3,3,1,3,3,1,3,3,1,2,4,1,1,4,,1,4,,1,3,,3,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,1,,1,2,,1,2,,1,2,,1,3,,1,2,,,2,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messias Targino,11,6,1,10,6,1,11,6,1,9,7,1,9,7,1,9,7,1,9,7,1,8,5,1,8,5,1,8,5,1,8,5,1,7,5,1,7,5,1,7,5,1,6,5,1,2,5,1,1,5,,1,5,,1,2,,1,2,,1,2,,1,2,,1,,,2,,,2,,,2,,,1,1,,1,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,49,20,2,37,22,3,49,20,2,37,22,3,36,17,2,33,27,1,30,31,1,28,17,1,28,17,1,28,17,1,28,17,1,24,16,1,21,19,1,21,19,1,21,19,1,16,19,1,16,19,1,16,19,1,13,15,1,13,16,1,13,16,1,12,17,1,11,13,1,11,13,1,10,12,1,8,13,1,8,12,1,8,12,1,7,13,1,7,13,1,6,14,1,5,12,1,5,11,1,3,13,1,2,14,1,2,14,1,2,14,1,2,13,1,14,1,1,1,14,1,1,15,1,,14,,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,1,1,2,,,1,2,,1,4,,1,8,,1,5,,1,5,,1,5,,1,5,,1,5,,1,5,,,6,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,4,,,5,,,6,,,6,,,6,,,6,,,7,,,,7,,,,8,,,8,,,5,,,,4,,,,4,,,4,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Alegre,113,92,2,103,81,2,113,92,2,93,78,1,90,73,1,89,79,1,63,86,1,54,68,1,53,69,1,53,69,1,51,70,1,49,67,1,45,71,1,45,71,1,45,71,1,41,71,1,32,79,1,32,80,1,30,51,1,30,60,1,30,60,1,30,61,1,29,42,1,27,44,1,26,33,1,19,40,1,17,35,,17,32,,14,34,,12,36,,12,36,,12,35,,12,36,,11,28,,8,29,,8,29,,8,27,,8,24,,22,8,,8,20,,8,16,,8,15,,8,12,,8,12,,8,9,,7,10,,7,5,,7,4,,7,4,,6,5,,6,3,,5,4,,4,3,,4,4,,4,5,,4,3,,4,3,,4,3,,4,2,,4,1,,3,2,,3,1,,3,1,,2,2,,2,2,,2,2,,2,2,,1,3,,1,3,,1,7,,1,7,,1,7,,1,8,,1,7,,1,4,,,1,4,,,1,4,,1,4,,1,2,,,1,,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte das Gameleiras,7,15,,5,18,,7,15,,4,14,,2,10,,2,10,,2,10,,2,6,,2,6,,2,6,,2,6,,1,2,,1,2,,1,2,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,7,,,5,,,5,,,5,,,5,,,5,,,4,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,3,,,2,,,,2,,,,2,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mossoró,2767,2036,124,2442,1697,114,2767,2036,124,2235,1615,109,2029,1357,107,2025,1598,104,2016,1618,98,1815,1326,98,1810,1327,97,1783,1340,95,1737,1379,87,1652,1206,86,1622,1211,83,1611,1211,79,1601,1209,79,1461,1211,78,1417,1231,77,1400,1252,73,1279,1099,68,1279,1128,68,1251,1154,66,1238,1162,62,1129,1046,61,1110,1062,58,1065,955,57,986,1011,48,907,991,45,885,929,42,813,905,39,798,952,36,736,899,36,705,859,35,665,784,33,626,725,30,557,623,29,538,653,27,527,615,27,502,572,23,573,456,23,419,519,23,335,482,22,293,558,21,299,478,20,296,465,20,286,401,20,281,348,19,262,335,18,254,275,18,197,318,16,191,305,16,190,299,15,184,287,14,174,274,14,164,276,13,117,294,11,112,271,10,112,249,10,111,214,9,110,181,9,106,170,8,106,165,8,105,141,8,104,146,8,92,123,8,89,122,8,84,124,8,84,125,6,79,137,6,77,156,6,67,179,6,65,183,6,63,189,5,63,185,5,63,166,5,63,140,3,3,59,133,3,3,43,141,3,21,148,1,20,138,1,1,16,131,1,1,16,132,1,5,142,,,2,151,,1,90,,,1,59,,,,14,,,,5,,,,3,,,,,2,,,2,2,,,,,
Natal,11357,22341,416,9234,15729,343,11357,22341,416,8351,14642,310,7673,12856,287,7638,15035,276,7488,15230,262,6092,12412,258,6029,12423,242,5957,12448,229,5804,12515,204,5387,11272,189,5235,11332,183,5117,11355,177,4969,11371,171,4367,11407,168,4208,11526,163,4139,11712,145,3614,9306,140,3610,9467,131,3538,9559,127,3496,9612,126,3209,7947,113,3120,8014,105,2908,6777,100,2576,7041,85,2221,6735,76,2169,6303,66,1895,6141,64,1865,6878,50,1727,6346,49,1668,6181,49,1583,5782,46,1451,5242,43,1380,4772,41,1360,4820,36,1288,4893,36,1185,4433,35,4219,1083,33,1025,3900,22,908,3779,22,906,3796,21,873,3432,19,872,3382,19,825,3198,19,802,2967,16,767,2897,15,710,2736,16,686,2577,13,677,2564,12,667,2513,12,631,2481,12,567,2518,12,519,2450,12,402,2382,11,396,2136,10,397,2097,9,370,2079,9,359,1797,9,335,1715,8,304,1726,7,283,1549,6,279,1561,6,236,1234,5,204,1242,5,172,1272,5,171,1279,5,159,1350,5,145,1498,5,137,1556,4,131,1554,3,117,1569,3,116,1500,3,112,1405,3,116,1291,2,2,113,1253,2,1,77,1203,1,56,1126,1,48,930,1,,36,501,,,34,504,,19,569,,,13,532,,9,200,,,9,123,,,5,73,,,1,47,,,1,20,,,,1,9,,,8,9,3,2,3,4,5
Nísia Floresta,161,127,3,146,99,2,161,127,3,131,88,2,113,76,2,113,83,2,107,87,2,83,60,2,83,60,2,81,60,2,77,61,2,74,52,2,68,58,2,65,60,2,64,61,2,48,61,2,46,64,2,47,65,2,40,43,2,40,44,2,40,44,2,40,44,2,36,31,2,36,31,2,33,19,1,33,20,1,32,24,1,31,19,1,18,28,1,18,32,1,15,34,1,14,33,1,13,35,1,10,27,1,10,25,1,10,25,1,10,24,1,9,19,1,16,8,1,7,17,1,7,15,1,9,13,1,8,10,1,8,8,1,7,7,1,7,6,1,7,7,1,7,5,1,7,3,1,7,6,1,7,6,1,7,7,1,8,8,1,5,7,1,5,9,1,5,7,1,5,6,1,5,6,1,3,2,,1,3,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,,3,,,5,,,6,,,6,,,6,,,6,,,6,,,,6,,,,7,,,5,,,4,,,,3,,,,3,,,3,,,,3,,,3,,,,3,,,,3,,,,2,,,,2,,,,,,,,,,,,,,
Nova Cruz,244,274,14,156,104,11,244,274,14,153,87,11,137,78,6,137,83,6,133,84,6,110,74,6,110,74,6,110,74,6,103,74,6,100,71,5,90,76,5,88,77,5,85,79,5,68,79,5,67,81,4,67,82,4,51,49,4,48,51,1,48,51,1,48,51,1,47,45,1,46,45,1,39,42,1,29,44,1,27,41,1,27,39,,18,41,,18,43,,15,39,,15,33,,9,29,,9,28,,6,25,,6,25,,4,47,,4,17,,8,5,,4,6,,4,6,,4,6,,4,5,,4,5,,4,5,,2,3,,2,3,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,4,,,,4,,,,5,,,5,,,2,,,,2,,,,2,,,2,,,,5,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Olho-d'Água do Borges,17,2,,13,,,17,2,,13,,,11,,,11,,,12,1,,11,1,,11,1,,11,1,,11,1,,9,1,,9,1,,9,1,,9,,,7,,,6,,,6,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouro Branco,21,8,,15,21,,21,8,,15,24,,14,19,,14,22,,11,25,,10,23,,10,23,,10,23,,10,23,,10,20,,10,20,,10,20,,10,20,,8,20,,6,22,,6,22,,5,13,,5,13,,5,13,,5,13,,4,9,,4,9,,3,5,,1,7,,1,5,,1,4,,1,4,,1,4,,1,3,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,2,1,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraná,7,1,,6,4,,7,1,,5,5,,4,5,,4,5,,4,5,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,3,,2,4,,2,4,,2,4,,2,6,,1,6,,1,3,,1,4,,1,11,,1,12,,1,12,,1,12,,1,3,,3,1,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraú,16,17,1,11,13,,16,17,,11,12,,10,11,,10,12,,9,16,,6,8,,6,8,,6,8,,5,8,,5,7,,5,7,,5,7,,5,7,,5,7,,4,9,,4,9,,4,3,,4,4,,4,4,,4,4,,4,4,,4,4,,4,2,,3,3,,3,2,,3,1,,3,1,,3,10,,2,10,,2,10,,2,11,,2,11,,2,10,,2,10,,2,9,,2,11,,8,2,,2,8,,2,7,,2,7,,2,9,,2,9,,1,7,,1,7,,1,7,,,7,,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,7,,,9,,,9,,,9,,,8,,,8,,,8,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parazinho,37,30,,19,36,,37,30,1,15,30,,14,21,,14,23,,13,24,,10,8,,10,8,,10,8,,9,8,,7,7,,7,7,,7,7,,7,7,,5,7,,4,8,,4,8,,3,7,,3,7,,3,7,,3,7,,3,6,,3,6,,3,5,,2,6,,2,5,,2,4,,2,4,,1,4,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,1,3,,2,1,,1,2,,1,2,,,3,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parelhas,39,170,,32,148,,39,170,,30,136,,29,124,,29,147,,30,148,,28,131,,28,131,,27,131,,27,131,,26,122,,26,122,,26,122,,26,122,,17,124,,17,124,,17,124,,15,107,,15,110,,15,110,,15,110,,8,93,,8,93,,8,87,,7,89,,5,86,,5,73,,4,74,,4,72,,4,65,,4,63,,4,53,,3,47,,3,40,,3,40,,2,40,,2,38,,37,2,,1,38,,,38,,,37,,1,34,,1,33,,1,32,,1,26,,1,24,,1,23,,1,22,,1,22,,1,21,,1,21,,,20,,,19,,,16,,,13,,,13,,,13,,,13,,,12,,,13,,,12,,,12,,,9,,,9,,,9,,,9,,,11,,,12,,,11,,,11,,,11,,,10,,,9,,,6,,,,7,,,,6,,,6,,,5,,,,3,,,,3,,,3,,,,3,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnamirim,2831,4692,76,2429,2980,73,2831,4692,76,2262,2798,66,2103,2397,53,2092,2810,53,1874,2903,51,1598,2259,51,1582,2261,45,1562,2261,41,1462,2272,41,1376,2030,34,1315,2048,30,1281,2063,30,1241,2073,28,1137,2077,28,1067,2123,26,1057,2156,22,878,1756,21,878,1810,17,863,1826,17,845,1846,15,777,1469,15,757,1477,13,702,1295,11,552,1378,10,491,1230,9,474,1146,9,399,1148,9,364,1275,9,340,1124,8,317,1156,8,293,1100,8,269,998,8,245,913,7,246,914,7,239,908,6,220,837,6,768,209,6,195,737,6,175,672,3,181,677,6,175,609,5,174,603,5,162,580,5,152,539,4,152,508,5,140,478,4,137,451,4,136,448,4,133,448,4,123,446,4,116,434,4,107,428,3,97,412,1,94,384,1,94,373,1,93,370,1,92,310,1,81,264,1,73,269,,70,226,,67,229,,61,180,,57,182,,43,186,,43,187,,41,205,,39,250,,33,267,,31,269,,32,276,,30,271,,30,254,,28,248,,,27,240,,,17,224,,13,199,,11,171,,,10,76,,,9,77,,4,81,,,4,83,,4,29,,,3,20,,,1,16,,,,13,,,,5,,,,,4,,,2,2,1,2,1,1,1
Passa e Fica,21,21,1,18,29,1,21,21,1,16,25,1,15,10,1,15,12,1,14,13,1,11,7,1,10,7,,10,7,,5,7,,3,6,,3,6,,3,6,,3,6,,3,6,,3,6,,3,6,,2,4,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,,2,4,,2,4,,1,5,,1,5,,1,5,,1,4,,1,2,,1,1,,1,,,1,,,1,,,1,,,2,1,,1,2,,1,2,,1,2,,1,,,1,,,1,,,1,,,1,1,,1,2,,1,2,,1,2,,1,1,,1,1,,1,,,1,,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,1,,,1,1,,1,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passagem,17,11,,14,9,,17,11,,12,7,,10,4,,9,6,,8,8,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,4,5,,2,7,,2,7,,1,7,,1,8,,1,8,,1,8,,1,7,,1,7,,1,5,,1,5,,,5,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
